sku,week,week_start,week_end,n_days,actual,predicted,accuracy_pct
IC-1133439,2,2026-06-03,2026-06-09,7,79,92.6,-16.9
IC-1133439,3,2026-06-10,2026-06-16,7,114,87.5,7.4
IC-1133439,4,2026-06-17,2026-06-23,7,103,84.6,44.1
IC-1133439,5,2026-06-24,2026-06-30,7,97,83.5,41.3
IC-1133439,6,2026-07-01,2026-07-07,7,161,101.1,62.8
IC-1133439,7,2026-07-08,2026-07-14,7,149,95.8,30.1
IC-1133439,8,2026-07-15,2026-07-21,7,128,91.6,40.6
IC-1134493,1,2026-05-27,2026-06-02,7,0,16.6,
IC-1134493,2,2026-06-03,2026-06-09,7,1,19.5,-1748.2
IC-1134493,3,2026-06-10,2026-06-16,7,1,24.6,-2257.1
IC-1134493,4,2026-06-17,2026-06-23,7,1,23.4,-2144.8
IC-1134493,5,2026-06-24,2026-06-30,7,0,8.6,
IC-1134493,6,2026-07-01,2026-07-07,7,0,9.3,
IC-1134493,7,2026-07-08,2026-07-14,7,0,8.4,
IC-1134493,8,2026-07-15,2026-07-21,7,2,23.7,-985.1
IC-1138507,1,2026-05-27,2026-06-02,7,125,58.1,16.8
IC-1138507,2,2026-06-03,2026-06-09,7,194,124.2,62.1
IC-1138507,3,2026-06-10,2026-06-16,7,128,98.6,68.4
IC-1138507,4,2026-06-17,2026-06-23,7,137,100.1,63.2
IC-1138507,5,2026-06-24,2026-06-30,7,167,96.9,50.9
IC-1138507,6,2026-07-01,2026-07-07,7,192,119.4,62.2
IC-1138507,7,2026-07-08,2026-07-14,7,181,122.1,67.0
IC-1138507,8,2026-07-15,2026-07-21,7,113,103.7,62.7
IC-1147930,1,2026-05-27,2026-06-02,7,113,125.5,-76.7
IC-1147930,2,2026-06-03,2026-06-09,7,0,19.5,
IC-1147930,3,2026-06-10,2026-06-16,7,94,47.4,14.1
IC-1147930,4,2026-06-17,2026-06-23,7,311,93.6,6.3
IC-1147930,5,2026-06-24,2026-06-30,7,212,142.2,17.1
IC-1147930,6,2026-07-01,2026-07-07,7,186,140.9,-19.1
IC-1147930,7,2026-07-08,2026-07-14,7,217,122.4,-4.2
IC-1147930,8,2026-07-15,2026-07-21,7,396,99.0,-3.3
IC-1166005,1,2026-05-27,2026-06-02,7,141,75.9,2.7
IC-1166005,2,2026-06-03,2026-06-09,7,103,133.3,7.3
IC-1166005,3,2026-06-10,2026-06-16,7,110,85.0,35.4
IC-1166005,4,2026-06-17,2026-06-23,7,143,110.9,29.8
IC-1166005,5,2026-06-24,2026-06-30,7,118,99.7,26.0
IC-1166005,6,2026-07-01,2026-07-07,7,235,127.0,40.1
IC-1166005,7,2026-07-08,2026-07-14,7,50,113.1,-35.8
IC-1166005,8,2026-07-15,2026-07-21,7,214,96.2,13.5
IC-1166218,1,2026-05-27,2026-06-02,7,17,27.9,35.7
IC-1166218,2,2026-06-03,2026-06-09,7,28,29.9,35.0
IC-1166218,3,2026-06-10,2026-06-16,7,25,32.7,39.4
IC-1166218,4,2026-06-17,2026-06-23,7,21,29.7,20.2
IC-1166218,5,2026-06-24,2026-06-30,7,25,30.2,64.0
IC-1166218,6,2026-07-01,2026-07-07,7,30,32.3,60.1
IC-1166218,7,2026-07-08,2026-07-14,7,35,34.4,61.6
IC-1166218,8,2026-07-15,2026-07-21,7,27,32.3,48.1
IC-1166220,1,2026-05-27,2026-06-02,7,36,33.9,3.5
IC-1166220,2,2026-06-03,2026-06-09,7,43,42.6,71.8
IC-1166220,3,2026-06-10,2026-06-16,7,38,42.0,69.8
IC-1166220,4,2026-06-17,2026-06-23,7,32,39.6,63.1
IC-1166220,5,2026-06-24,2026-06-30,7,37,37.9,41.1
IC-1166220,6,2026-07-01,2026-07-07,7,43,41.6,66.5
IC-1166220,7,2026-07-08,2026-07-14,7,56,44.0,61.1
IC-1166220,8,2026-07-15,2026-07-21,7,27,39.3,42.4
IC-1172128,1,2026-05-27,2026-06-02,7,19,27.9,33.8
IC-1172128,2,2026-06-03,2026-06-09,7,25,29.4,51.0
IC-1172128,3,2026-06-10,2026-06-16,7,16,29.1,15.5
IC-1172128,4,2026-06-17,2026-06-23,7,28,29.8,51.7
IC-1172128,5,2026-06-24,2026-06-30,7,21,28.6,18.4
IC-1172128,6,2026-07-01,2026-07-07,7,34,31.8,81.3
IC-1172128,7,2026-07-08,2026-07-14,7,33,31.4,42.0
IC-1172128,8,2026-07-15,2026-07-21,7,21,31.6,7.4
IC-1177117,1,2026-05-27,2026-06-02,7,91,85.6,56.7
IC-1177117,2,2026-06-03,2026-06-09,7,137,123.5,67.7
IC-1177117,3,2026-06-10,2026-06-16,7,23,79.9,-147.2
IC-1177117,4,2026-06-17,2026-06-23,7,21,58.7,-133.3
IC-1177117,5,2026-06-24,2026-06-30,7,159,128.2,46.2
