sku,product_id,channel,date,forecast_horizon_day,y_pred,as_of_date,model_version
IC-1094191,13689,naheed_web,2026-07-01,1,7.629814276559541,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-02,2,8.012230986222315,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-03,3,8.013254881627125,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-04,4,7.617975078284623,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-05,5,7.441956862428013,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-06,6,6.219402580408476,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-07,7,6.888967500316131,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-08,8,6.94997023631677,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-09,9,6.404294208714105,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-10,10,6.139778502221685,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-11,11,6.420680076187519,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-12,12,5.000766425234297,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-13,13,5.09485870803931,2026-06-30,lgbm_global_v1
IC-1094191,13689,naheed_web,2026-07-14,14,5.017639009522916,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-01,1,10.6652058940463,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-02,2,8.76934420004322,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-03,3,9.046573795216293,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-04,4,8.928662209501171,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-05,5,8.63633081806119,2026-06-30,lgbm_global_v1
IC-1097379,25010,naheed_web,2026-07-06,6,8.374166280387703,2026-06-30,lgbm_global_v1
